,datetime,creator_character_id,guild_id,n_added_characters,n_removed_characters,n_talents,level,n_missions_completed,n_times_flag_turned_on,mean_place,mean_rating,n_seasons,n_characters,energy_delta,cluster,is_premuim
0,2022-12-12 23:13:42,15092203,78698,1,1,0,1,0,0,,0.0,0,0,0.0,1,False
1,2022-12-12 22:29:09,15961764,78604,2,2,0,1,0,0,,0.0,0,0,0.0,1,False
2,2022-12-12 21:01:53,16187808,78510,27,19,9,2,171,0,,0.0,0,8,24680.0,3,True
3,2022-12-12 00:16:52,21618959,77899,42,35,12,3,171,0,,0.0,0,7,37480.0,3,False
4,2022-12-12 22:13:50,23341705,78557,6,6,4,2,156,0,,0.0,0,0,11140.0,3,False
5,2022-12-12 00:26:46,23748506,77946,4,3,4,2,169,0,,0.0,0,1,8900.0,3,False
6,2022-12-12 19:43:20,23909299,78369,94,83,24,4,224,0,,0.0,0,11,242020.0,0,False
7,2022-12-12 00:07:19,24425304,77805,27,15,5,2,170,0,,0.0,0,12,16640.0,3,False
8,2022-12-12 20:06:29,25081103,78416,1,1,0,1,2,0,,0.0,0,0,280.0,1,False
9,2022-12-12 15:29:23,25567139,78228,11,11,0,1,8,0,,0.0,0,0,6440.0,1,True
10,2022-12-12 20:28:14,25629676,78463,53,46,25,4,226,3,20.0,478.0,1,7,180000.0,0,True
11,2022-12-12 22:31:00,25652331,78651,1,0,0,1,86,0,,0.0,0,1,0.0,1,True
12,2022-12-12 03:36:38,25797024,78040,82,70,20,3,168,1,15.0,458.0,1,12,95340.0,0,True
13,2022-12-12 17:53:08,26186023,78275,24,17,10,2,170,0,,0.0,0,7,30900.0,3,False
14,2022-12-12 18:43:40,26232897,78322,85,76,16,3,231,2,10.5,485.5,2,9,111900.0,0,False
15,2022-12-12 04:28:27,26349093,78134,8,0,1,1,169,0,,0.0,0,8,4320.0,3,False
16,2022-12-12 00:15:27,26359328,77852,89,79,11,3,171,0,,0.0,0,10,33160.0,0,False
17,2022-12-12 04:35:03,26467428,78181,41,35,9,3,169,0,,0.0,0,6,34420.0,3,False
18,2022-12-12 01:23:31,26490083,77993,13,13,0,1,0,0,,0.0,0,0,0.0,1,True
19,2022-12-12 03:47:33,26512899,78087,40,33,11,3,168,0,,0.0,0,7,24400.0,3,False
20,2022-12-12 23:23:43,26573412,78745,10,1,1,1,170,0,,0.0,0,9,3640.0,3,True
21,2022-11-05 02:19:39,13793922,52472,2,0,0,1,86,0,,0.0,0,2,0.0,1,False
22,2022-11-05 15:09:11,19718009,52613,130,119,22,4,164,0,,0.0,0,11,102580.0,0,False
23,2022-11-05 20:54:50,20013628,52660,25,19,9,2,167,0,,0.0,0,6,27020.0,3,False
24,2022-11-05 05:31:13,21263862,52519,191,178,26,4,174,8,16.25,449.5,4,13,131120.0,0,False
25,2022-11-05 13:34:57,21331505,52566,20,20,11,3,31,0,,0.0,0,0,29920.0,1,True
26,2022-11-11 18:42:28,17334404,54822,2,2,0,1,0,0,,0.0,0,0,0.0,1,True
27,2022-11-11 15:54:54,19290278,54728,1,1,0,1,21,0,,0.0,0,0,0.0,1,False
28,2022-11-11 18:38:12,20187048,54775,55,52,25,4,167,0,,0.0,0,3,92120.0,3,False
29,2022-11-11 04:47:33,21909794,54681,3,0,0,1,86,0,,0.0,0,3,4480.0,1,False
30,2022-12-07 23:43:22,25502969,74092,64,41,92,8,265,0,,0.0,0,23,1651500.0,2,False
31,2022-11-15 22:45:43,22061088,56420,14,14,1,1,1,0,,0.0,0,0,1960.0,1,False
32,2022-11-27 05:17:23,12140498,62953,70,68,11,3,171,0,,0.0,0,2,40740.0,3,False
33,2022-11-27 17:37:07,13161077,63470,78,58,40,5,227,2,5.0,604.0,1,20,554387.0,2,False
34,2022-11-27 20:16:42,13547339,63517,2,1,1,1,164,0,,0.0,0,1,1680.0,3,True
35,2022-11-27 05:06:13,15913050,62859,106,103,19,3,171,0,,0.0,0,3,57260.0,3,True
36,2022-11-27 14:31:19,17157810,63282,44,39,6,2,171,0,,0.0,0,5,22480.0,3,False
37,2022-11-27 00:51:14,17342523,62483,155,143,33,4,169,0,,0.0,0,12,162480.0,0,False
38,2022-11-27 17:09:10,18775791,63423,21,14,4,2,167,0,,0.0,0,7,13040.0,3,False
39,2022-11-27 12:47:23,20453273,63141,16,12,8,2,167,0,,0.0,0,4,12560.0,3,False
40,2022-11-27 05:14:38,21589841,62906,49,42,18,3,171,0,,0.0,0,7,69220.0,3,False
41,2022-11-27 08:47:52,21662291,63000,92,84,24,4,171,0,,0.0,0,8,87960.0,0,False
42,2022-11-27 12:32:55,21711097,63094,86,77,18,3,171,2,18.0,479.0,1,9,76260.0,0,False
43,2022-11-27 00:46:17,21946341,62436,55,49,15,3,225,0,,0.0,0,6,91680.0,3,False
44,2022-11-27 13:09:39,22213739,63188,97,83,40,5,218,1,11.0,484.0,1,14,251630.0,0,False
45,2022-11-27 01:01:55,22262683,62530,4,3,1,1,133,0,,0.0,0,1,6540.0,3,False
46,2022-11-27 01:31:53,22298287,62624,1,1,0,1,10,0,,0.0,0,0,0.0,1,False
47,2022-11-27 21:13:51,22321310,63564,1,1,0,1,0,0,,0.0,0,0,0.0,1,False
48,2022-11-27 02:51:39,22509864,62718,2,0,0,1,86,0,,0.0,0,2,1400.0,1,False
49,2022-11-27 11:08:06,22768637,63047,29,24,24,4,171,0,,0.0,0,5,94520.0,0,False
50,2022-11-27 16:48:51,23684589,63376,107,104,17,3,170,0,,0.0,0,3,52680.0,3,False
51,2022-11-27 04:23:28,23760650,62812,9,2,0,1,86,0,,0.0,0,7,6720.0,1,True
52,2022-11-27 14:38:07,23815666,63329,10,2,0,1,86,0,,0.0,0,8,3360.0,1,False
53,2022-11-27 14:23:52,23861321,63235,16,16,9,2,29,0,,0.0,0,0,13300.0,1,True
54,2022-11-27 03:20:34,23970479,62765,31,30,7,2,171,0,,0.0,0,1,20400.0,3,False
55,2022-11-27 01:57:37,23981427,62671,11,10,1,1,167,0,,0.0,0,1,2800.0,3,True
56,2022-11-27 01:16:22,24081063,62577,16,8,0,1,86,0,,0.0,0,8,8400.0,1,True
57,2022-11-27 21:37:35,24226952,63611,3,1,0,1,85,0,,0.0,0,2,1120.0,1,True
58,2022-12-18 19:20:18,22902382,83445,2,0,0,1,86,0,,0.0,0,2,1400.0,1,False
59,2022-12-18 00:20:53,25433532,82881,2,0,0,1,86,0,,0.0,0,2,0.0,1,False
60,2022-12-18 11:42:09,25874235,83163,137,120,26,4,196,0,,0.0,0,17,172680.0,0,False
61,2022-12-18 17:38:27,25952159,83351,1,1,0,1,3,0,,0.0,0,0,0.0,1,False
62,2022-12-18 19:04:02,26036523,83398,19,13,7,2,171,0,,0.0,0,6,21560.0,3,False
63,2022-12-18 00:45:22,26061409,82975,94,81,62,6,235,0,,0.0,0,13,703954.0,2,False
64,2022-12-18 05:51:03,26408042,83116,2,0,0,1,86,0,,0.0,0,2,560.0,1,False
65,2022-12-18 12:03:48,26497995,83257,13,5,1,1,165,0,,0.0,0,8,2800.0,3,False
66,2022-12-18 02:58:21,27005927,83022,2,2,0,1,0,0,,0.0,0,0,0.0,1,False
67,2022-12-18 22:48:21,27164305,83539,23,21,8,2,171,0,,0.0,0,2,25720.0,3,True
68,2022-12-18 00:34:46,27338783,82928,23,21,9,2,171,0,,0.0,0,2,15740.0,3,False
69,2022-12-18 12:03:47,27365647,83210,1,1,0,1,2,0,,0.0,0,0,0.0,1,False
70,2022-12-18 22:28:32,27369833,83492,2,2,0,1,21,0,,0.0,0,0,840.0,1,False
71,2022-12-18 04:44:40,27447205,83069,1,0,0,1,86,0,,0.0,0,1,0.0,1,False
72,2022-12-18 17:04:04,27516642,83304,1,1,0,1,1,0,,0.0,0,0,280.0,1,False
