,energy_delta
0,0.0
1,0.0
2,24680.0
3,37480.0
4,11140.0
5,8900.0
6,242020.0
7,16640.0
8,280.0
9,6440.0
10,180000.0
11,0.0
12,95340.0
13,30900.0
14,111900.0
15,4320.0
16,33160.0
17,34420.0
18,0.0
19,24400.0
20,3640.0
21,0.0
22,102580.0
23,27020.0
24,131120.0
25,29920.0
26,0.0
27,0.0
28,92120.0
29,4480.0
30,1651500.0
31,1960.0
32,40740.0
33,554387.0
34,1680.0
35,57260.0
36,22480.0
37,162480.0
38,13040.0
39,12560.0
40,69220.0
41,87960.0
42,76260.0
43,91680.0
44,251630.0
45,6540.0
46,0.0
47,0.0
48,1400.0
49,94520.0
50,52680.0
51,6720.0
52,3360.0
53,13300.0
54,20400.0
55,2800.0
56,8400.0
57,1120.0
58,1400.0
59,0.0
60,172680.0
61,0.0
62,21560.0
63,703954.0
64,560.0
65,2800.0
66,0.0
67,25720.0
68,15740.0
69,0.0
70,840.0
71,0.0
72,280.0
73,14720.0
74,0.0
75,7720.0
76,7140.0
77,75820.0
78,280.0
79,67580.0
80,958969.0
81,47560.0
82,1847185.0
83,84780.0
84,11500.0
85,13420.0
86,0.0
87,72520.0
88,19460.0
89,840.0
90,462760.0
91,70160.0
92,43780.0
93,0.0
94,33500.0
95,9460.0
96,280.0
97,0.0
98,11880.0
99,15340.0
100,3360.0
101,0.0
102,26680.0
103,90600.0
104,2240.0
105,1400.0
106,113580.0
107,9800.0
108,120860.0
109,27060.0
110,94280.0
111,0.0
112,10260.0
113,24680.0
114,1960.0
115,134650.0
116,6440.0
117,0.0
118,141880.0
119,79660.0
120,0.0
121,88700.0
122,168180.0
123,3360.0
124,3640.0
125,805176.0
126,47620.0
127,840.0
128,96320.0
129,169280.0
130,1400.0
131,6160.0
132,3080.0
133,9500.0
134,248860.0
135,64300.0
136,213400.0
137,1298954.0
138,141040.0
139,13220.0
140,23980.0
141,13580.0
142,280.0
143,0.0
144,35780.0
145,120860.0
146,855720.0
147,987939.0
148,126180.0
149,1120.0
150,560.0
151,165280.0
152,122440.0
153,280.0
154,823368.0
155,0.0
156,9700.0
157,57360.0
158,44720.0
159,32320.0
160,560.0
161,1400.0
162,17040.0
163,12160.0
164,186500.0
165,47060.0
166,62340.0
167,19640.0
168,0.0
169,20860.0
170,11600.0
171,16880.0
172,0.0
173,26900.0
174,882035.0
175,51940.0
176,132780.0
177,41940.0
178,31980.0
179,98600.0
180,73360.0
181,10480.0
182,1120.0
183,25160.0
184,1680.0
185,12380.0
186,1217203.0
187,280.0
188,2520.0
189,14560.0
190,63360.0
191,23980.0
192,28820.0
193,0.0
194,7960.0
195,6000.0
196,19140.0
197,77600.0
198,1960.0
199,0.0
200,60840.0
201,280.0
202,840.0
203,29080.0
204,122080.0
205,59120.0
206,2800.0
207,560.0
208,40160.0
209,57780.0
210,280.0
211,12780.0
212,44360.0
213,0.0
214,16720.0
215,4500.0
216,840.0
217,0.0
218,560.0
219,22580.0
220,280.0
221,4480.0
222,28980.0
223,55100.0
224,24860.0
225,4220.0
226,280.0
227,840.0
228,376100.0
229,52880.0
230,31860.0
231,280.0
232,215440.0
233,2520.0
234,179540.0
235,267960.0
236,5320.0
237,0.0
238,0.0
239,0.0
240,0.0
241,560.0
242,106760.0
243,13980.0
244,54800.0
245,7600.0
246,14520.0
247,0.0
248,24840.0
249,18880.0
250,32020.0
251,10880.0
252,59680.0
253,113140.0
254,28200.0
255,57140.0
256,35320.0
257,0.0
258,280.0
259,0.0
260,1400.0
261,1120.0
262,5960.0
263,95620.0
264,0.0
265,560.0
266,47580.0
267,16480.0
268,1120.0
269,0.0
270,560.0
271,1680.0
272,0.0
273,10460.0
274,57680.0
275,333160.0
276,201920.0
277,34480.0
278,33700.0
279,1120.0
280,1746857.0
281,280.0
282,43800.0
283,3120.0
284,27280.0
285,6460.0
286,54460.0
287,13420.0
288,280.0
289,9880.0
290,102960.0
291,5900.0
292,44260.0
293,32320.0
294,10380.0
295,560.0
296,3360.0
297,100200.0
298,0.0
299,5320.0
300,237980.0
301,0.0
302,0.0
303,67340.0
304,79340.0
305,45180.0
306,4760.0
307,89400.0
308,17420.0
309,840.0
310,3920.0
311,0.0
312,4800.0
313,13860.0
314,868433.0
315,25720.0
316,30240.0
317,49060.0
318,1400.0
319,262530.0
320,560.0
321,36040.0
322,42920.0
323,31300.0
324,9580.0
325,560.0
326,24280.0
327,71120.0
328,130710.0
329,1680.0
330,95590.0
331,0.0
332,61460.0
333,71420.0
334,4000.0
335,355960.0
336,18360.0
337,0.0
338,5660.0
339,1400.0
340,791150.0
341,36120.0
342,108300.0
343,0.0
344,31920.0
345,5600.0
346,7980.0
347,0.0
348,0.0
349,0.0
350,840.0
351,18600.0
352,134620.0
353,120220.0
354,64900.0
355,98080.0
356,560.0
357,7860.0
358,12320.0
359,22620.0
360,2540.0
361,32880.0
362,22760.0
363,0.0
364,104680.0
365,0.0
366,840.0
367,280.0
368,13500.0
369,23100.0
370,840.0
371,25180.0
372,3720.0
373,659238.0
374,3720.0
375,12780.0
376,2240.0
377,69280.0
378,0.0
379,5040.0
380,43460.0
381,0.0
382,4480.0
383,37720.0
384,1680.0
385,0.0
386,0.0
387,280.0
388,41100.0
389,6220.0
390,23500.0
391,41120.0
392,19820.0
393,280.0
394,93740.0
395,93960.0
396,30080.0
397,12560.0
398,44740.0
399,27340.0
400,30200.0
401,104480.0
402,1227090.0
403,118440.0
404,10300.0
405,56980.0
406,3360.0
407,99200.0
408,0.0
409,4240.0
410,560.0
411,7940.0
412,106080.0
413,88850.0
414,172880.0
415,25760.0
416,0.0
417,233850.0
418,216700.0
419,0.0
420,63600.0
421,38300.0
422,77280.0
423,840.0
424,27300.0
425,1960.0
426,14820.0
427,50460.0
428,12880.0
429,183700.0
430,11400.0
431,3080.0
432,151960.0
433,3920.0
434,100940.0
435,7280.0
436,0.0
437,1748236.0
438,71480.0
439,27980.0
440,0.0
441,4200.0
442,33120.0
443,42780.0
444,35300.0
445,19240.0
446,118630.0
447,8540.0
448,9940.0
449,70520.0
450,840.0
451,17100.0
452,1400.0
453,87780.0
454,2240.0
455,840.0
456,6440.0
457,52740.0
458,119850.0
459,5600.0
460,28660.0
461,0.0
462,32080.0
463,840.0
464,4280.0
465,17100.0
466,284880.0
467,32700.0
468,21160.0
469,43740.0
470,63400.0
471,62080.0
472,60240.0
473,22940.0
474,57720.0
475,0.0
476,2540.0
477,2240.0
478,0.0
479,0.0
480,840.0
481,16580.0
482,560.0
483,94540.0
484,0.0
485,0.0
486,28260.0
487,39340.0
488,280.0
489,4200.0
490,33100.0
491,280.0
492,840.0
493,73200.0
494,101600.0
495,36660.0
496,26540.0
497,57280.0
498,280.0
499,0.0
500,214400.0
501,13320.0
502,2240.0
503,4480.0
504,280.0
505,2880.0
